"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1795093347842900408","Mon May 27 19:02:43 +0000 2024","1","@SantiagoAuFund @Bob366466 Pmsl!","1795168775483822357","","SantiagoAuFund","in","Cambridge, UK.","0","0","0","https://x.com/pippopotamus/status/1795168775483822357","1567121509637914626","pippopotamus"
"1795162170751164721","Mon May 27 18:36:28 +0000 2024","0"," pip mau..? ‍️nggak kamu makan aja. kenapa..? Ga suka ya.. ‍️iya nggak trus tadi kenapa beli ini kalau ga suka.. kan bisa beli yang lain yang aku suka dan kamu suka ‍️ gpp katanya kamu suka..lagian kamu juga masih laper omg https://t.co/eL5IGqMCnI","1795162170751164721","https://pbs.twimg.com/media/GOmxkMRaAAUHRKX.jpg","","in","","0","0","0","https://x.com/riky_wht/status/1795162170751164721","1782832328018128899","riky_wht"
"1795132734668480863","Mon May 27 18:28:52 +0000 2024","67","@kegblgnunfaedh Paham knp sebel bgt sama kucing. Kadang pup dan pip di rumah kita. Suka nyakar2 barang terutama kursi blm jok dan ban motor yg punya mobil jg paham bs baret2 dinaekin kucing. Rambutnya suka rontok kemana2. Blm klo ribut berantem. Tp ga hrs sampai ngeracunin kucingnya. Klo","1795160257616019608","","kegblgnunfaedh","in","Central Java, Indonesia","0","15","3","https://x.com/rahadyan999/status/1795160257616019608","58162963","rahadyan999"
"1794924618517807197","Mon May 27 18:15:23 +0000 2024","0","@xbtGBH bang","1795156862427386313","","xbtGBH","in","","0","0","0","https://x.com/handoxxo/status/1795156862427386313","1542473619754094593","handoxxo"
"1795152805180723675","Mon May 27 17:59:15 +0000 2024","1","mau banget nntn konser lany ","1795152805180723675","","","in","Magic Shop","0","0","0","https://x.com/simaniseu/status/1795152805180723675","1099708968698490881","simaniseu"
"1794605136368861634","Mon May 27 17:55:34 +0000 2024","0","@yodhyrinjaya Ndak ikut2 : ","1795151879329948151","","yodhyrinjaya","in","","0","0","0","https://x.com/afifjude/status/1795151879329948151","1137029088923639814","afifjude"
"1795148396266999938","Mon May 27 17:52:07 +0000 2024","1","@afhxblshy pip ih nangiss bacanya","1795151009632661763","","afhxblshy","in","","0","0","0","https://x.com/kyncaaa/status/1795151009632661763","1347848743509389313","kyncaaa"
"1795084734365659536","Mon May 27 17:36:00 +0000 2024","0","@tirta_cipeng mau dok pas banget sizenya 44 juga","1795146952192995370","","tirta_cipeng","in","Bekasi Selatan, Indonesia","0","0","0","https://x.com/nottheimpostorr/status/1795146952192995370","1065322389238497280","nottheimpostorr"
"1794716593144107516","Mon May 27 17:33:23 +0000 2024","0","@tanyarlfes gilee gua pernah nyiram luka pake obat ini rasanyaaaaaaa manteppppp","1795146294383493527","","tanyarlfes","in","","0","0","0","https://x.com/solatippp/status/1795146294383493527","833833035053285376","solatippp"
"1795145329601294449","Mon May 27 17:29:33 +0000 2024","0","Dewa 19 - Roman Picisan &amp; Satu Ahmad Band - Ode Buat Extrimist Padi - Mahadewi Andra &amp; The Backbone - Tak Ada Yang Bisa &amp; Sempurna Potret - Mak Comblang &amp; I Just Wanna Say ILU Tiara - Menjadi Dia Letto - Sebelum Cahaya Melly - Kupu Kupu &amp; Denting Olga - Hancur Hatiku","1795145329601294449","","","in","Madrid","0","0","0","https://x.com/pip0024/status/1795145329601294449","550850737","pip0024"
